County Code,District Code,Subgroup ID,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
1,10017,74,11,2,72.0,22.0,2403.7,0.0,0.0,0.0,0.0,100.0,22.0
1,10017,74,11,1,72.0,20.0,2419.6,0.0,0.0,0.0,15.0,85.0,20.0
1,10017,78,11,2,51.0,16.0,2431.3,0.0,0.0,0.0,6.25,93.75,16.0
1,10017,78,11,1,51.0,12.0,2464.9,0.0,8.33,8.33,33.33,58.33,12.0
1,31617,78,8,2,13.0,13.0,2375.8,0.0,7.69,7.69,0.0,92.31,13.0
1,31617,78,8,1,13.0,13.0,2369.9,0.0,0.0,0.0,0.0,100.0,13.0
1,31617,78,11,1,11.0,11.0,2396.6,0.0,0.0,0.0,0.0,100.0,11.0
1,31617,78,11,2,11.0,11.0,2384.6,0.0,0.0,0.0,0.0,100.0,11.0
1,31617,80,8,2,13.0,13.0,2469.5,7.69,15.38,23.08,7.69,69.23,13.0
1,31617,80,8,1,13.0,13.0,2466.4,0.0,23.08,23.08,15.38,61.54,13.0
1,61119,74,3,2,41.0,40.0,2382.5,15.0,22.5,37.5,15.0,47.5,40.0
1,61119,74,3,1,41.0,39.0,2378.7,20.51,15.38,35.9,15.38,48.72,39.0
1,61119,74,4,2,52.0,50.0,2407.9,10.0,2.0,12.0,34.0,54.0,50.0
1,61119,74,4,1,52.0,50.0,2380.2,8.0,6.0,14.0,6.0,80.0,50.0
1,61119,74,5,2,54.0,52.0,2456.4,5.77,11.54,17.31,34.62,48.08,52.0
1,61119,74,5,1,54.0,50.0,2474.3,16.0,26.0,42.0,18.0,40.0,50.0
1,61119,74,6,2,31.0,31.0,2485.5,16.13,9.68,25.81,25.81,48.39,31.0
1,61119,74,6,1,31.0,31.0,2481.3,6.45,29.03,35.48,16.13,48.39,31.0
1,61119,74,7,1,55.0,53.0,2513.6,13.21,30.19,43.4,20.75,35.85,53.0
1,61119,74,7,2,55.0,52.0,2484.0,7.69,25.0,32.69,17.31,50.0,52.0
1,61119,74,8,1,49.0,45.0,2527.2,11.11,26.67,37.78,20.0,42.22,45.0
1,61119,74,8,2,49.0,46.0,2502.8,13.33,17.78,31.11,15.56,53.33,45.0
1,61119,74,11,1,81.0,75.0,2535.6,12.0,20.0,32.0,32.0,36.0,75.0
1,61119,74,11,2,81.0,74.0,2508.9,2.7,14.86,17.57,21.62,60.81,74.0
1,61119,77,3,1,39.0,39.0,2434.1,28.21,33.33,61.54,15.38,23.08,39.0
1,61119,77,3,2,39.0,39.0,2448.6,20.51,46.15,66.67,20.51,12.82,39.0
1,61119,77,4,2,33.0,32.0,2473.6,15.63,18.75,34.38,50.0,15.63,32.0
1,61119,77,4,1,33.0,32.0,2465.3,18.75,28.13,46.88,28.13,25.0,32.0
1,61119,77,5,1,49.0,49.0,2518.1,28.57,28.57,57.14,24.49,18.37,49.0
1,61119,77,5,2,49.0,48.0,2523.5,18.75,29.17,47.92,35.42,16.67,48.0
1,61119,77,6,1,40.0,40.0,2555.3,27.5,35.0,62.5,20.0,17.5,40.0
1,61119,77,6,2,40.0,40.0,2548.7,25.0,30.0,55.0,30.0,15.0,40.0
1,61119,77,7,1,44.0,44.0,2578.3,25.0,43.18,68.18,13.64,18.18,44.0
1,61119,77,7,2,44.0,44.0,2567.2,31.82,22.73,54.55,22.73,22.73,44.0
