Agency Name,State Name [District] Latest available year,Grade 6 Students - American Indian/Alaska Native [District] 2016-17,Grade 6 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 6 Students - Hispanic [District] 2016-17,Grade 6 Students - Black [District] 2016-17,Grade 6 Students - White [District] 2016-17,Grade 6 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 6 Students - Two or More Races [District] 2016-17,Grade 7 Students - American Indian/Alaska Native [District] 2016-17,Grade 7 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 7 Students - Hispanic [District] 2016-17,Grade 7 Students - Black [District] 2016-17,Grade 7 Students - White [District] 2016-17,Grade 7 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 7 Students - Two or More Races [District] 2016-17,Grade 8 Students - American Indian/Alaska Native [District] 2016-17,Grade 8 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 8 Students - Hispanic [District] 2016-17,Grade 8 Students - Black [District] 2016-17,Grade 8 Students - White [District] 2016-17,Grade 8 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 8 Students - Two or More Races [District] 2016-17,Grade 9 Students - American Indian/Alaska Native [District] 2016-17,Grade 9 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 9 Students - Hispanic [District] 2016-17,Grade 9 Students - Black [District] 2016-17,Grade 9 Students - White [District] 2016-17,Grade 9 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 9 Students - Two or More Races [District] 2016-17
ABC UNIFIED,California,3,562,777,116,110,10,53,4,592,711,139,95,17,38,3,594,758,132,109,16,31,8,608,710,171,92,14,37
ACALANES UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,1,200,129,27,896,3,110
ACKERMAN CHARTER,California,1,2,5,1,49,–,4,–,2,8,–,49,–,3,–,2,5,–,44,–,2,†,†,†,†,†,†,†
ACTON-AGUA DULCE UNIFIED,California,1,70,221,38,362,–,61,1,25,188,31,302,2,59,4,18,222,35,288,1,49,4,15,319,96,233,5,71
ADELANTO ELEMENTARY,California,2,15,612,208,89,10,41,2,13,611,205,77,16,39,4,17,505,208,75,8,46,2,1,205,67,74,2,27
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALAMEDA COUNTY OFFICE OF EDUCATION,California,1,22,119,18,16,–,19,–,2,105,17,2,–,–,1,1,69,8,–,–,2,1,2,70,48,5,1,2
ALAMEDA UNIFIED,California,1,267,140,68,252,5,112,2,303,130,89,276,10,82,1,319,126,79,261,13,57,2,341,155,91,239,4,52
ALBANY CITY UNIFIED,California,–,73,60,6,105,1,51,–,90,51,10,132,1,41,1,94,40,9,124,1,29,–,87,49,8,101,–,32
ALEXANDER VALLEY UNION ELEMENTARY,California,–,–,8,–,8,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
