,District Code,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment,Total Revenue,Revenue per student
0,64212,ABC UNIFIED,1791.0,9425.0,1302.0,7459.0,63.0,158.0,524.0,20722.0,226251000.0,10918.4
1,61630,ACALANES UNION HIGH,95.0,508.0,3622.0,850.0,9.0,16.0,402.0,5502.0,37710000.0,6853.87
2,66761,ACKERMAN CHARTER,4.0,74.0,460.0,9.0,2.0,0.0,37.0,586.0,4410000.0,7525.6
3,75309,ACTON-AGUA DULCE UNIFIED,705.0,3466.0,4199.0,536.0,36.0,18.0,1040.0,10000.0,29983000.0,2998.3
4,67587,ADELANTO ELEMENTARY,2156.0,6327.0,1010.0,139.0,35.0,88.0,517.0,10272.0,120023000.0,11684.48
5,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,543.0,1581.0,209.0,263.0,16.0,33.0,225.0,2870.0,55795000.0,19440.77
6,61119,ALAMEDA UNIFIED,924.0,1897.0,3292.0,3722.0,33.0,85.0,1206.0,11159.0,96642000.0,8660.45
7,61127,ALBANY CITY UNIFIED,117.0,603.0,1368.0,1080.0,5.0,7.0,522.0,3702.0,58211000.0,15724.2
8,70599,ALEXANDER VALLEY UNION ELEMENTARY,1.0,48.0,80.0,0.0,0.0,0.0,1.0,130.0,1123000.0,8638.46
9,75713,ALHAMBRA UNIFIED,112.0,7071.0,349.0,9084.0,33.0,16.0,406.0,17071.0,250138000.0,14652.8
10,65961,ALISAL UNION,34.0,8414.0,117.0,131.0,4.0,18.0,517.0,9235.0,109541000.0,11861.51
11,71795,ALLENSWORTH ELEMENTARY,1.0,77.0,0.0,0.0,0.0,0.0,0.0,78.0,1105000.0,14166.67
12,71803,ALPAUGH UNIFIED,16.0,501.0,213.0,15.0,4.0,0.0,44.0,793.0,5021000.0,6331.65
13,61333,ALPINE COUNTY UNIFIED,0.0,4.0,42.0,0.0,32.0,0.0,2.0,80.0,1714000.0,21425.0
14,67967,ALPINE UNION ELEMENTARY,37.0,400.0,1111.0,35.0,81.0,7.0,74.0,1745.0,13433000.0,7697.99
15,67595,ALTA LOMA ELEMENTARY,381.0,2676.0,2281.0,501.0,31.0,28.0,90.0,5988.0,55109000.0,9203.24
16,71811,ALTA VISTA ELEMENTARY,0.0,449.0,76.0,5.0,4.0,19.0,2.0,555.0,7103000.0,12798.2
17,66779,ALTA-DUTCH FLAT UNION ELEMENTARY,0.0,6.0,91.0,1.0,1.0,0.0,5.0,104.0,794000.0,7634.62
18,69369,ALUM ROCK UNION ELEMENTARY,156.0,9154.0,194.0,1868.0,21.0,97.0,134.0,11624.0,113219000.0,9740.11
19,65177,ALVIEW-DAIRYLAND UNION ELEMENTARY,0.0,213.0,156.0,10.0,1.0,0.0,1.0,381.0,3352000.0,8797.9
20,61994,ALVINA ELEMENTARY,0.0,154.0,24.0,1.0,2.0,1.0,0.0,182.0,1769000.0,9719.78
21,66977,ALVORD UNIFIED,720.0,15161.0,2034.0,949.0,40.0,85.0,245.0,19234.0,222608000.0,11573.67
22,10033,AMADOR COUNTY OFFICE OF EDUCATION,0.0,51.0,143.0,0.0,9.0,0.0,19.0,222.0,12859000.0,57923.42
23,73981,AMADOR COUNTY UNIFIED,23.0,780.0,2652.0,54.0,101.0,9.0,245.0,3864.0,17515000.0,4532.87
24,66423,ANAHEIM ELEMENTARY,265.0,15961.0,873.0,1046.0,18.0,67.0,328.0,18558.0,164715000.0,8875.69
25,66431,ANAHEIM UNION HIGH,716.0,20555.0,3135.0,5287.0,145.0,167.0,726.0,30731.0,349807000.0,11382.87
26,69856,ANDERSON UNION HIGH,30.0,293.0,1274.0,49.0,104.0,10.0,52.0,1812.0,17738000.0,9789.18
27,65540,ANDERSON VALLEY UNIFIED,5.0,384.0,110.0,1.0,4.0,0.0,3.0,507.0,6682000.0,13179.49
28,71472,ANTELOPE ELEMENTARY,9.0,187.0,568.0,11.0,16.0,1.0,24.0,816.0,7755000.0,9503.68
29,64246,ANTELOPE VALLEY UNION HIGH,4207.0,14647.0,3260.0,628.0,77.0,46.0,1030.0,23895.0,288343000.0,12067.09
30,61648,ANTIOCH UNIFIED,4333.0,7533.0,2623.0,1630.0,104.0,214.0,889.0,17326.0,167684000.0,9678.17
31,75077,APPLE VALLEY UNIFIED,1287.0,6520.0,5718.0,424.0,58.0,72.0,291.0,14370.0,140868000.0,9802.92
32,64261,ARCADIA UNIFIED,170.0,1380.0,1290.0,6483.0,12.0,8.0,182.0,9525.0,77631000.0,8150.24
33,62679,ARCATA ELEMENTARY,13.0,159.0,715.0,19.0,34.0,3.0,121.0,1064.0,11841000.0,11128.76
34,67280,ARCOHE UNION ELEMENTARY,12.0,204.0,198.0,7.0,5.0,2.0,23.0,451.0,4052000.0,8984.48
35,65557,ARENA UNION ELEMENTARY,0.0,154.0,113.0,0.0,28.0,0.0,18.0,313.0,0.0,0.0
36,63875,ARMONA UNION ELEMENTARY,54.0,1051.0,348.0,22.0,27.0,2.0,38.0,1542.0,14613000.0,9476.65
37,63313,ARVIN UNION,16.0,2902.0,95.0,7.0,5.0,0.0,3.0,3028.0,40148000.0,13258.92
38,68700,ATASCADERO UNIFIED,64.0,1288.0,2983.0,108.0,47.0,5.0,132.0,4627.0,28220000.0,6098.98
39,65631,ATWATER ELEMENTARY,113.0,3511.0,969.0,218.0,35.0,13.0,105.0,4964.0,60592000.0,12206.29
40,66787,AUBURN UNION ELEMENTARY,28.0,626.0,1209.0,49.0,21.0,2.0,100.0,2035.0,15804000.0,7766.09
41,64279,AZUSA UNIFIED,116.0,8073.0,296.0,184.0,19.0,1.0,56.0,8745.0,115452000.0,13202.06
42,73858,BAKER VALLEY UNIFIED,0.0,110.0,14.0,0.0,0.0,0.0,0.0,124.0,964000.0,7774.19
43,63321,BAKERSFIELD CITY,2422.0,23959.0,2899.0,368.0,150.0,37.0,537.0,30372.0,380895000.0,12540.99
44,64287,BALDWIN PARK UNIFIED,564.0,14575.0,577.0,1049.0,230.0,41.0,697.0,17733.0,200607000.0,11312.64
45,69104,BALLARD ELEMENTARY,1.0,18.0,105.0,3.0,0.0,0.0,2.0,129.0,640000.0,4961.24
46,65649,BALLICO-CRESSEY ELEMENTARY,5.0,211.0,104.0,11.0,3.0,0.0,39.0,373.0,3684000.0,9876.68
47,61382,BANGOR UNION ELEMENTARY,0.0,13.0,67.0,0.0,4.0,0.0,3.0,87.0,1125000.0,12931.03
48,66985,BANNING UNIFIED,365.0,3072.0,580.0,249.0,128.0,7.0,140.0,4541.0,53443000.0,11768.99
49,68486,BANTA ELEMENTARY,23.0,357.0,169.0,177.0,0.0,4.0,40.0,770.0,7016000.0,9111.69
50,67611,BARSTOW UNIFIED,1106.0,3212.0,1287.0,89.0,68.0,71.0,321.0,6154.0,78476000.0,12752.03
51,65185,BASS LAKE JOINT UNION ELEMENTARY,5.0,162.0,657.0,19.0,17.0,1.0,30.0,891.0,5251000.0,5893.38
52,64295,BASSETT UNIFIED,28.0,3444.0,42.0,166.0,6.0,3.0,0.0,3689.0,53525000.0,14509.35
53,68858,BAYSHORE ELEMENTARY,15.0,158.0,10.0,152.0,0.0,19.0,14.0,368.0,28589000.0,77687.5
54,67637,BEAR VALLEY UNIFIED,20.0,876.0,1510.0,26.0,10.0,3.0,78.0,2523.0,21245000.0,8420.53
55,63339,BEARDSLEY ELEMENTARY,58.0,690.0,923.0,6.0,7.0,0.0,126.0,1810.0,18130000.0,10016.57
56,66993,BEAUMONT UNIFIED,627.0,5174.0,3226.0,542.0,91.0,30.0,285.0,9975.0,98646000.0,9889.32
57,69872,BELLA VISTA ELEMENTARY,7.0,39.0,275.0,11.0,17.0,1.0,11.0,361.0,3281000.0,9088.64
58,72306,BELLEVIEW ELEMENTARY,5.0,32.0,100.0,1.0,2.0,3.0,4.0,147.0,1487000.0,10115.65
59,70615,BELLEVUE UNION,29.0,1585.0,179.0,61.0,17.0,1.0,23.0,1895.0,18680000.0,9857.52
60,64303,BELLFLOWER UNIFIED,1604.0,7928.0,1274.0,1035.0,59.0,96.0,301.0,12297.0,135823000.0,11045.21
61,68866,BELMONT-REDWOOD SHORES ELEMENTARY,71.0,500.0,1797.0,1286.0,6.0,34.0,536.0,4230.0,26884000.0,6355.56
62,63347,BELRIDGE ELEMENTARY,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,390000.0,12187.5
63,70524,BENICIA UNIFIED,383.0,907.0,2239.0,599.0,21.0,15.0,689.0,4853.0,35896000.0,7396.66
64,70623,BENNETT VALLEY UNION ELEMENTARY,23.0,220.0,666.0,48.0,4.0,9.0,65.0,1035.0,6105000.0,5898.55
65,61143,BERKELEY UNIFIED,1667.0,2473.0,3868.0,814.0,16.0,22.0,1378.0,10238.0,122851000.0,11999.51
