Agency Name,State Name [District] Latest available year,Prekindergarten Students - American Indian/Alaska Native [District] 2016-17,Prekindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Prekindergarten Students - Hispanic [District] 2016-17,Prekindergarten Students - Black [District] 2016-17,Prekindergarten Students - White [District] 2016-17,Prekindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Prekindergarten Students Two or More Races [District] 2016-17,Kindergarten Students - American Indian/Alaska Native [District] 2016-17,Kindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Kindergarten Students - Hispanic [District] 2016-17,Kindergarten Students - Black [District] 2016-17,Kindergarten Students White [District] 2016-17,Kindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Kindergarten Students Two or More Races [District] 2016-17,Grade 1 Students - American Indian/Alaska Native [District] 2016-17,Grade 1 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 1 Students - Hispanic [District] 2016-17,Grade 1 Students - Black [District] 2016-17,Grade 1 Students - White [District] 2016-17,Grade 1 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 1 Students - Two or More Races [District] 2016-17,Grade 2 Students - American Indian/Alaska Native [District] 2016-17,Grade 2 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 2 Students - Hispanic [District] 2016-17,Grade 2 Students - Black [District] 2016-17,Grade 2 Students - White [District] 2016-17,Grade 2 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 2 Students - Two or More Races [District] 2016-17,Grade 3 Students - American Indian/Alaska Native [District] 2016-17,Grade 3 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 3 Students - Hispanic [District] 2016-17,Grade 3 Students - Black [District] 2016-17,Grade 3 Students - White [District] 2016-17,Grade 3 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 3 Students - Two or More Races [District] 2016-17,Grade 4 Students - American Indian/Alaska Native [District] 2016-17,Grade 4 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 4 Students - Hispanic [District] 2016-17,Grade 4 Students - Black [District] 2016-17,Grade 4 Students - White [District] 2016-17,Grade 4 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 4 Students - Two or More Races [District] 2016-17,Grade 5 Students - American Indian/Alaska Native [District] 2016-17,Grade 5 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 5 Students - Hispanic [District] 2016-17,Grade 5 Students - Black [District] 2016-17,Grade 5 Students - White [District] 2016-17,Grade 5 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 5 Students - Two or More Races [District] 2016-17
ABC UNIFIED,California,†,†,†,†,†,†,†,9,543,748,125,105,10,59,5,496,679,108,88,10,38,–,456,699,104,89,12,35,7,530,694,123,96,11,35,8,521,768,142,108,9,56,4,546,754,149,96,11,49
ACALANES UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ACKERMAN CHARTER,California,†,†,†,†,†,†,†,–,–,9,1,67,–,4,–,–,10,–,54,–,4,–,–,9,1,46,–,8,1,1,10,–,48,–,6,–,1,10,–,49,–,4,–,1,8,1,54,–,2
ACTON-AGUA DULCE UNIFIED,California,†,†,†,†,†,†,†,2,67,285,35,425,–,133,1,55,241,36,376,1,99,2,57,235,41,365,–,100,4,59,233,46,347,2,74,3,60,240,53,392,–,110,3,58,263,41,414,2,75
ADELANTO ELEMENTARY,California,†,†,†,†,†,†,†,2,9,650,227,84,8,61,4,11,557,189,75,10,48,6,14,560,187,80,7,42,2,17,587,207,82,9,52,4,18,592,211,67,8,49,3,15,604,198,95,8,55
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALAMEDA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,3,48,209,34,28,5,26,1,35,150,28,28,5,40,–,35,136,46,25,2,29,2,37,158,24,27,3,29,3,34,139,39,34,7,31,–,27,156,29,16,4,29
ALAMEDA UNIFIED,California,†,†,†,†,†,†,†,2,247,147,44,287,3,181,2,234,148,42,289,7,122,2,220,118,49,257,4,142,3,240,149,51,227,4,110,4,271,134,62,260,8,106,4,213,144,61,271,6,82
ALBANY CITY UNIFIED,California,†,†,†,†,†,†,†,–,86,45,7,100,–,49,–,57,33,6,88,–,55,–,77,37,5,83,–,41,1,86,41,7,113,–,37,–,86,43,10,97,–,53,–,75,51,7,96,1,37
ALEXANDER VALLEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,8,–,16,–,–,–,–,8,1,8,–,–,–,–,5,–,11,–,1,–,–,3,–,15,–,–,–,–,8,–,12,–,–,–,–,8,–,10,–,–
ALHAMBRA UNIFIED,California,†,†,†,†,†,†,†,3,557,528,4,41,1,38,–,488,431,12,20,1,31,–,473,451,2,26,1,25,1,544,474,10,18,–,33,4,514,466,5,23,2,36,4,545,491,11,18,1,36
ALISAL UNION,California,†,†,†,†,†,†,†,–,15,1261,8,16,2,184,–,16,1155,4,8,2,105,3,17,1058,7,24,3,117,1,18,1231,2,17,3,41,–,25,1182,5,18,2,23,–,20,1324,2,15,3,28
ALLENSWORTH ELEMENTARY,California,†,†,†,†,†,†,†,–,–,12,–,–,–,–,–,–,7,–,–,–,–,–,–,11,–,–,–,–,–,–,5,–,–,–,–,–,–,11,1,–,–,–,–,–,8,–,–,–,–
ALPAUGH UNIFIED,California,†,†,†,†,†,†,†,–,4,37,–,10,–,2,1,–,31,–,6,–,4,–,1,39,–,9,–,5,–,1,32,1,6,–,2,–,1,25,–,16,–,3,–,1,50,2,16,–,4
ALPINE COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINE COUNTY UNIFIED,California,†,†,†,†,†,†,†,2,–,–,–,4,–,–,3,–,–,–,2,–,–,4,–,1,–,3,–,–,3,–,–,–,7,–,–,5,–,–,–,6,–,–,5,–,–,–,6,–,1
ALPINE UNION ELEMENTARY,California,†,†,†,†,†,†,†,5,2,74,3,156,–,20,9,–,41,1,96,1,21,6,4,41,4,113,1,9,11,2,43,2,110,–,7,8,5,36,4,124,1,7,8,4,44,5,139,–,3
ALTA LOMA ELEMENTARY,California,†,†,†,†,†,†,†,4,55,372,35,294,–,12,5,52,261,36,223,2,13,4,52,274,33,221,2,9,2,54,294,41,222,3,9,5,37,301,46,209,3,5,5,60,292,40,249,5,18
ALTA VISTA ELEMENTARY,California,†,†,†,†,†,†,†,–,1,60,–,16,2,–,1,1,46,–,10,2,1,–,–,42,–,6,–,1,–,–,60,–,10,3,–,–,–,41,–,4,3,–,1,1,53,–,8,2,–
ALTA-DUTCH FLAT UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,14,–,1,–,–,–,–,7,–,–,–,–,–,–,11,–,–,–,–,1,–,13,–,–,–,–,1,–,11,–,–,1,–,1,–,9,–,1
ALUM ROCK UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,201,1100,15,22,6,22,5,164,913,20,30,4,11,1,167,865,11,18,11,18,3,168,947,9,11,4,11,–,210,945,17,16,13,10,5,221,1162,23,13,16,14
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,1,32,–,18,–,–,1,2,22,–,21,–,–,–,–,24,–,18,–,–,–,2,20,–,16,–,–,–,1,24,–,23,–,–,–,1,25,–,21,–,–
ALVINA ELEMENTARY,California,†,†,†,†,†,†,†,–,–,23,–,2,–,–,–,–,20,–,3,–,–,–,1,16,–,4,–,–,–,–,22,–,2,–,–,–,–,19,–,5,–,–,–,–,14,–,3,–,–
ALVORD UNIFIED,California,†,†,†,†,†,†,†,4,89,1337,64,194,5,28,3,75,1079,58,154,7,22,1,70,1080,46,150,5,16,6,69,1164,52,157,6,17,1,55,987,60,132,13,14,4,77,1247,49,161,9,19
AMADOR COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,–,–,–,6,–,1,–,–,1,–,3,–,–,–,–,1,–,5,–,–,1,–,10,–,6,–,1,–,–,2,–,7,–,–,1,–,5,–,10,–,–
AMADOR COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AMADOR COUNTY UNIFIED,California,†,†,†,†,†,†,†,9,3,59,–,199,–,16,6,5,65,–,212,1,20,3,4,44,1,178,–,14,10,5,67,1,198,–,21,15,5,64,4,183,–,11,12,8,69,3,194,1,13
ANAHEIM ELEMENTARY,California,†,†,†,†,†,†,†,6,172,2531,40,143,13,84,4,126,2139,46,141,7,61,–,125,2189,34,111,7,57,1,148,2276,29,110,6,39,3,154,2226,42,125,9,38,2,166,2333,34,123,16,28
ANAHEIM UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANDERSON UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANDERSON VALLEY UNIFIED,California,†,†,†,†,†,†,†,1,–,27,1,11,–,–,–,1,34,1,5,–,–,–,–,22,–,6,–,–,–,–,30,–,10,–,–,–,–,33,–,7,–,–,1,–,29,–,6,–,–
ANTELOPE ELEMENTARY,California,†,†,†,†,†,†,†,2,1,19,1,69,–,3,1,–,19,2,62,–,4,–,–,20,–,40,–,3,4,1,22,–,63,–,6,2,2,14,–,49,–,1,1,1,24,1,59,–,1
ANTELOPE VALLEY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANTELOPE VALLEY UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANTIOCH UNIFIED,California,†,†,†,†,†,†,†,9,118,660,298,191,24,78,9,106,580,305,198,21,72,2,113,549,300,178,14,81,9,107,587,311,199,7,93,3,116,634,319,199,23,94,4,145,623,320,187,7,85
APPLE VALLEY UNIFIED,California,†,†,†,†,†,†,†,3,31,632,123,541,9,29,6,23,508,105,435,8,30,3,23,455,87,413,3,26,3,26,507,91,464,4,23,2,28,513,90,471,10,20,5,24,530,106,453,4,26
ARCADIA UNIFIED,California,†,†,†,†,†,†,†,–,404,111,5,57,–,57,–,362,93,9,64,1,23,1,403,74,11,80,1,12,–,446,87,5,76,–,8,3,506,101,12,100,1,4,1,494,95,8,109,–,5
ARCATA ELEMENTARY,California,†,†,†,†,†,†,†,4,2,27,1,93,–,25,3,–,28,2,74,–,18,1,1,11,3,87,–,14,4,1,15,1,75,1,14,3,6,25,2,86,–,10,6,2,15,1,94,–,8
ARCOHE UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,25,2,33,–,5,–,1,22,–,27,–,3,1,–,16,1,18,–,3,–,1,13,–,16,–,3,1,2,24,4,25,1,1,1,–,37,2,18,–,–
ARENA UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,–,13,–,10,–,1,3,–,13,–,10,–,1,1,–,17,–,12,–,–,1,–,21,–,5,–,3,3,–,19,–,9,–,6,4,–,19,–,15,–,1
ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARMONA UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,1,97,5,19,–,3,2,1,107,4,18,–,3,2,–,99,2,16,–,1,–,–,107,2,14,–,2,1,–,90,4,14,–,–,1,4,103,6,21,1,2
AROMAS - SAN JUAN UNIFIED,California,†,†,†,†,†,†,†,–,1,39,–,38,–,4,–,–,51,–,36,–,1,–,1,55,–,16,–,2,–,1,63,–,23,–,2,–,1,54,–,24,–,3,–,1,58,–,23,–,2
ARVIN UNION,California,†,†,†,†,†,†,†,–,1,415,2,10,–,–,1,1,320,1,11,–,–,1,1,305,1,12,–,–,–,2,346,–,13,–,–,1,–,314,1,10,–,–,–,1,325,4,17,–,1
ATASCADERO UNIFIED,California,†,†,†,†,†,†,†,2,11,125,3,239,1,8,3,5,92,6,225,–,8,2,4,84,4,196,–,6,2,10,84,3,209,–,12,2,4,94,4,259,1,14,3,3,93,3,214,–,23
ATWATER ELEMENTARY,California,†,†,†,†,†,†,†,7,32,464,16,112,–,10,3,25,390,10,102,–,10,7,18,377,8,111,–,14,3,25,384,11,101,2,16,1,17,395,8,114,1,15,2,25,362,14,99,3,12
AUBURN UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,3,85,1,141,–,14,5,6,65,1,130,–,16,–,3,73,6,99,–,6,3,13,68,5,125,–,8,2,3,85,3,128,2,8,2,7,62,2,155,–,10
AZUSA UNIFIED,California,†,†,†,†,†,†,†,1,21,757,7,42,–,10,3,14,580,8,32,–,6,1,15,595,6,17,–,5,3,13,639,6,23,–,3,1,20,567,8,18,–,4,–,8,647,11,22,–,1
BAKER VALLEY UNIFIED,California,†,†,†,†,†,†,†,–,–,6,–,2,–,–,–,–,6,–,–,–,–,–,–,8,–,–,–,–,–,–,11,–,–,–,–,–,–,6,–,–,–,–,–,–,14,–,1,–,–
BAKERSFIELD CITY,California,†,†,†,†,†,†,†,17,54,3068,352,393,3,97,19,48,2579,264,376,4,81,20,35,2629,281,316,5,83,16,36,2776,278,317,1,67,15,37,2553,271,304,2,50,15,31,2857,260,345,3,49
BALDWIN PARK UNIFIED,California,†,†,†,†,†,†,†,–,78,1054,6,16,–,–,1,48,837,4,8,–,–,–,67,929,6,7,–,–,4,66,924,9,8,1,2,1,61,872,5,7,2,–,2,70,1068,2,11,1,–
BALDY VIEW ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BALDY VIEW ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BALLARD ELEMENTARY,California,†,†,†,†,†,†,†,–,1,2,–,13,–,2,–,–,4,–,16,–,–,–,–,–,–,18,–,–,–,–,6,–,10,–,–,–,–,2,1,17,–,–,–,1,3,–,17,–,–
BALLICO-CRESSEY ELEMENTARY,California,†,†,†,†,†,†,†,1,–,25,1,13,–,1,–,1,23,–,15,–,1,–,–,22,–,12,–,2,1,4,21,1,12,–,–,–,1,19,2,8,–,15,1,2,23,–,7,–,16
BANGOR UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,8,–,1,–,–,1,–,5,–,1,–,–,2,–,7,–,–,–,–,1,–,9,–,–,–,–,1,–,4,–,–,1,–,1,–,7,–,–
BANNING UNIFIED,California,†,†,†,†,†,†,†,6,22,329,38,70,1,12,7,22,244,21,53,1,11,7,18,246,29,38,–,19,5,15,238,23,36,–,17,8,18,265,30,50,–,17,5,18,272,27,41,–,15
BANTA ELEMENTARY,California,†,†,†,†,†,†,†,–,32,66,4,22,–,11,–,24,61,3,26,1,9,–,17,43,4,16,1,5,–,19,31,1,25,1,5,–,25,34,5,13,–,4,–,26,38,1,25,–,2
BARSTOW UNIFIED,California,†,†,†,†,†,†,†,6,3,327,115,102,4,40,4,5,264,109,120,4,41,7,6,289,102,108,9,26,4,7,273,110,99,3,36,5,6,264,80,87,4,28,3,6,302,77,124,7,26
BASS LAKE JOINT UNION ELEMENTARY,California,†,†,†,†,†,†,†,4,3,18,–,90,–,5,3,1,17,–,73,–,10,–,2,19,–,60,–,4,4,1,24,2,77,–,1,–,3,18,1,68,–,4,–,3,25,1,67,–,2
BASSETT UNIFIED,California,†,†,†,†,†,†,†,–,15,331,3,1,–,–,–,15,253,4,2,1,–,–,17,244,1,2,–,–,–,14,284,1,3,–,–,–,9,231,2,2,–,–,3,15,286,2,11,1,–
BAYSHORE ELEMENTARY,California,†,†,†,†,†,†,†,–,12,21,1,2,2,4,–,19,18,1,–,2,–,–,14,17,1,–,1,3,–,15,14,–,2,2,1,–,10,12,3,–,2,2,–,9,20,3,1,2,2
BEAR VALLEY UNIFIED,California,†,†,†,†,†,†,†,1,2,76,–,159,–,12,–,2,67,1,108,–,5,–,3,61,1,94,–,8,–,3,57,1,131,–,4,–,2,66,1,91,–,5,–,1,82,2,127,–,9
BEARDSLEY ELEMENTARY,California,†,†,†,†,†,†,†,2,1,90,7,111,–,25,1,–,94,11,112,–,15,–,1,76,5,95,–,17,–,1,82,5,106,–,15,–,–,75,7,124,–,14,–,1,72,7,93,–,19
BEAUMONT UNIFIED,California,†,†,†,†,†,†,†,5,38,475,42,287,3,6,3,52,420,40,267,4,8,3,32,399,38,245,1,25,12,39,394,48,251,5,31,7,40,408,52,250,2,34,8,37,423,51,248,2,31
BELLA VISTA ELEMENTARY,California,†,†,†,†,†,†,†,–,1,5,–,28,–,3,1,–,7,–,25,–,2,2,2,2,1,25,–,1,6,3,3,1,29,–,–,2,–,4,1,36,–,1,3,3,6,–,43,–,–
BELLEVIEW ELEMENTARY,California,†,†,†,†,†,†,†,1,1,4,–,13,–,–,–,–,4,–,17,–,–,–,–,5,1,5,1,1,1,–,1,–,15,–,1,–,–,2,1,10,–,1,–,–,4,1,7,1,1
BELLEVUE UNION,California,†,†,†,†,†,†,†,3,8,241,3,27,1,2,1,5,211,4,17,–,3,5,8,213,5,22,–,2,–,12,218,4,21,–,6,3,6,167,6,24,–,1,3,7,218,2,26,–,1
BELLFLOWER UNIFIED,California,†,†,†,†,†,†,†,10,72,644,123,100,4,24,6,74,603,119,92,4,27,7,76,537,98,97,6,18,2,84,565,152,104,7,13,4,99,600,112,78,11,18,4,59,651,127,108,13,27
BELMONT-REDWOOD SHORES ELEMENTARY,California,†,†,†,†,†,†,†,1,182,77,6,211,3,107,–,142,59,7,186,3,102,–,153,54,7,180,4,62,–,143,58,7,182,2,71,1,146,45,8,191,3,38,–,143,56,14,213,3,52
BELRIDGE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,3,–,–,–,–,–,–,3,–,–,–,–,–,–,4,–,–,–,–,–,–,2,–,–,–,–,–,–,4,–,–,–,–,–,–,2,–,–,–,–
BENICIA UNIFIED,California,†,†,†,†,†,†,†,–,38,67,20,178,–,69,3,27,66,19,130,–,47,2,36,63,17,143,2,54,4,39,70,24,178,1,38,2,28,69,20,146,–,43,4,48,65,34,155,–,29
BENNETT VALLEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,11,53,2,104,1,11,1,3,37,5,84,2,13,2,5,28,5,91,2,5,–,8,28,2,94,1,11,–,5,23,2,103,–,9,1,8,32,2,93,2,4
BERKELEY UNIFIED,California,†,†,†,†,†,†,†,1,63,151,99,321,1,120,–,63,158,93,277,1,111,–,67,165,101,280,2,110,1,46,173,138,308,2,109,–,45,182,94,293,–,100,4,57,146,134,283,2,122
BERRYESSA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,562,202,14,42,7,53,–,454,166,12,49,4,35,–,488,176,7,46,6,37,1,505,181,18,48,4,47,–,485,178,16,34,5,40,1,484,209,12,44,3,45
BEVERLY HILLS UNIFIED,California,†,†,†,†,†,†,†,–,22,24,7,168,2,18,–,24,21,4,167,1,16,–,27,17,7,161,1,20,–,29,24,8,191,–,11,2,42,21,7,222,–,17,–,34,21,8,205,–,9
BIG CREEK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,2,–,4,–,–,–,–,–,–,5,–,–,–,–,–,–,5,–,–,–,–,2,–,6,–,1,–,–,2,–,4,–,–,–,–,3,–,7,–,–
