Agency Name,State Name [District] Latest available year,Grade 10 Students - American Indian/Alaska Native [District] 2016-17,Grade 10 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 10 Students - Hispanic [District] 2016-17,Grade 10 Students - Black [District] 2016-17,Grade 10 Students - White [District] 2016-17,Grade 10 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 10 Students - Two or More Races [District] 2016-17,Grade 11 Students - American Indian/Alaska Native [District] 2016-17,Grade 11 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 11 Students - Hispanic [District] 2016-17,Grade 11 Students - Black [District] 2016-17,Grade 11 Students - White [District] 2016-17,Grade 11 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 11 Students - Two or More Races [District] 2016-17,Grade 12 Students - American Indian/Alaska Native [District] 2016-17,Grade 12 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 12 Students - Hispanic [District] 2016-17,Grade 12 Students - Black [District] 2016-17,Grade 12 Students - White [District] 2016-17,Grade 12 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 12 Students - Two or More Races [District] 2016-17
ABC UNIFIED,California,4,623,656,159,100,12,32,–,687,752,158,95,15,31,8,701,719,165,119,11,30
ACALANES UNION HIGH,California,2,200,144,20,885,2,132,4,247,141,25,926,6,84,2,203,94,23,915,5,76
ACKERMAN CHARTER,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ACTON-AGUA DULCE UNIFIED,California,5,16,316,81,244,3,58,4,15,336,94,227,2,76,2,21,367,78,224,–,75
ADELANTO ELEMENTARY,California,2,4,325,103,81,1,17,1,2,331,100,91,1,26,1,3,188,46,40,–,14
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALAMEDA COUNTY OFFICE OF EDUCATION,California,–,3,81,54,8,2,4,3,9,86,84,4,3,4,1,8,103,114,16,1,10
ALAMEDA UNIFIED,California,1,315,164,89,241,7,65,6,389,170,102,215,9,42,3,363,172,97,217,5,53
ALBANY CITY UNIFIED,California,1,95,53,16,98,2,34,1,90,50,11,111,1,33,1,84,50,15,120,–,30
ALEXANDER VALLEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALHAMBRA UNIFIED,California,3,1011,685,12,33,4,31,4,1136,676,10,31,–,46,7,1061,721,16,40,1,31
ALISAL UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALLENSWORTH ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALPAUGH UNIFIED,California,2,1,44,2,20,–,–,–,1,48,3,23,–,3,1,1,47,2,28,–,3
ALPINE COUNTY OFFICE OF EDUCATION,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,–,–,–,–,–,–
ALPINE COUNTY UNIFIED,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALTA LOMA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALTA VISTA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALTA-DUTCH FLAT UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALUM ROCK UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALVINA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALVORD UNIFIED,California,7,74,1172,60,151,4,21,2,73,1188,59,139,5,21,4,86,1221,77,156,8,12
AMADOR COUNTY OFFICE OF EDUCATION,California,–,–,2,–,7,–,1,3,–,5,–,11,–,4,–,–,6,–,12,–,–
AMADOR COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0,0
AMADOR COUNTY UNIFIED,California,10,5,54,1,195,–,29,5,6,71,1,228,3,21,4,3,60,2,222,–,24
ANAHEIM ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANAHEIM UNION HIGH,California,17,946,3519,112,521,23,86,61,961,3386,125,597,31,92,13,904,3303,134,544,23,278
ANDERSON UNION HIGH,California,26,13,83,5,330,4,17,32,11,58,9,319,5,15,23,11,80,8,296,–,8
ANDERSON VALLEY UNIFIED,California,–,–,37,–,9,–,1,1,–,25,–,12,–,–,–,–,40,1,11,–,–
ANTELOPE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANTELOPE VALLEY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANTELOPE VALLEY UNION HIGH,California,22,149,3548,1084,845,15,223,24,159,3602,982,772,12,236,20,162,3627,1071,807,13,272
ANTIOCH UNIFIED,California,7,134,575,365,205,12,61,9,156,546,375,222,16,29,19,149,557,409,256,12,41
APPLE VALLEY UNIFIED,California,5,49,493,103,397,6,15,10,35,435,84,393,6,24,9,44,447,114,453,4,13
ARCADIA UNIFIED,California,2,585,114,19,103,1,9,1,614,127,12,117,–,12,1,611,138,16,117,3,16
ARCATA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARCOHE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARENA UNION ELEMENTARY,California,–,–,2,–,3,–,–,–,–,2,–,2,–,–,–,–,–,–,1,–,–
ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARMONA UNION ELEMENTARY,California,3,1,23,6,27,–,6,2,3,50,2,55,–,4,4,1,38,3,50,–,4
AROMAS - SAN JUAN UNIFIED,California,–,1,58,2,27,–,–,–,1,74,–,21,–,–,1,2,38,–,13,–,4
ARVIN UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
